Id,Label,Eccentricity,indegree,outdegree,Degree,clustering,eigencentrality,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree
1,MonkeyKing,1,135,135,270,0.997844,1,1,1,0.305363,36651,36885,73536
2,Jax,1,135,135,270,0.997844,1,1,1,0.305363,109350,109397,218747
3,Fiddlesticks,1,135,135,270,0.997844,1,1,1,0.305363,31068,31027,62095
4,Shaco,1,135,135,270,0.997844,1,1,1,0.305363,61833,61869,123702
5,Warwick,1,135,135,270,0.997844,1,1,1,0.305363,102971,103087,206058
6,Xayah,1,135,135,270,0.997844,1,1,1,0.305363,161916,161947,323863
7,Nidalee,1,135,135,270,0.997844,1,1,1,0.305363,25667,25483,51150
8,Zyra,1,135,135,270,0.997844,1,1,1,0.305363,62599,62684,125283
9,Kled,1,135,135,270,0.997844,1,1,1,0.305363,42689,42626,85315
10,Brand,1,135,135,270,0.997844,1,1,1,0.305363,84234,84218,168452
11,Rammus,1,135,135,270,0.997844,1,1,1,0.305363,26159,26123,52282
12,Illaoi,1,135,135,270,0.997844,1,1,1,0.305363,35019,35140,70159
13,Corki,2,134,131,265,0.99812,0.993004,0.971223,0.985185,0.18669,7087,7046,14133
14,Braum,1,135,135,270,0.997844,1,1,1,0.305363,74835,74795,149630
15,Darius,1,135,135,270,0.997844,1,1,1,0.305363,98964,98946,197910
16,Tryndamere,1,135,135,270,0.997844,1,1,1,0.305363,77772,78000,155772
17,MissFortune,1,135,135,270,0.997844,1,1,1,0.305363,87461,87501,174962
18,Yorick,2,134,134,268,0.998766,0.993004,0.992647,0.996296,0.169905,22865,22822,45687
19,Xerath,1,135,135,270,0.997844,1,1,1,0.305363,31678,31875,63553
20,Sivir,1,135,135,270,0.997844,1,1,1,0.305363,31251,31139,62390
21,Riven,1,135,135,270,0.997844,1,1,1,0.305363,115244,115352,230596
22,Orianna,1,135,135,270,0.997844,1,1,1,0.305363,153677,153645,307322
23,Gangplank,1,135,135,270,0.997844,1,1,1,0.305363,90494,90348,180842
24,Malphite,1,135,135,270,0.997844,1,1,1,0.305363,51745,51796,103541
25,Poppy,1,135,135,270,0.997844,1,1,1,0.305363,32621,32381,65002
26,Karthus,1,133,135,268,0.997955,0.985368,1,1,0.243757,13749,13653,27402
27,Jayce,1,135,135,270,0.997844,1,1,1,0.305363,51633,51478,103111
28,Nunu,1,134,135,269,0.997899,0.993004,1,1,0.225034,27252,27312,54564
29,Trundle,2,135,134,269,0.997899,1,0.992647,0.996296,0.250234,19291,19226,38517
30,Graves,1,135,135,270,0.997844,1,1,1,0.305363,119645,119602,239247
31,Gnar,1,135,135,270,0.997844,1,1,1,0.305363,28678,28465,57143
32,Lux,1,135,135,270,0.997844,1,1,1,0.305363,142196,142263,284459
33,Shyvana,1,135,135,270,0.997844,1,1,1,0.305363,25279,25376,50655
34,Renekton,1,135,135,270,0.997844,1,1,1,0.305363,98584,98630,197214
35,Fiora,1,135,135,270,0.997844,1,1,1,0.305363,101440,101363,202803
36,Jinx,1,135,135,270,0.997844,1,1,1,0.305363,140693,140755,281448
37,Kalista,1,135,135,270,0.997844,1,1,1,0.305363,33862,33933,67795
38,Fizz,1,135,135,270,0.997844,1,1,1,0.305363,116389,116387,232776
39,Kassadin,1,135,135,270,0.997844,1,1,1,0.305363,83865,83818,167683
40,Sona,1,135,135,270,0.997844,1,1,1,0.305363,72999,73282,146281
41,Irelia,1,134,135,269,0.997899,0.993004,1,1,0.225034,57950,57898,115848
